season,week,couple_idx,couple_name,F_mean,F_median,F_q05,F_q95,F_q025,F_q975,CI_width_90,CI_width_95,is_eliminated
1,1,0,John O'Hurley / Charlotte Jorgensen,0.3223544061183929,0.2281208336353302,0.0079334745649248,0.8699122786521909,0.0033577930938918,0.911505763232708,0.6074088195522398,0.6514268620891384,False
1,1,1,Kelly Monaco / Alec Mazo,0.0468529909849166,0.0159864835441112,0.0006022164714522,0.1913259848952293,0.000413315413607,0.2814054377377034,0.14069515985735978,0.2110051339853686,False
1,1,2,Evander Holyfield / Edyta Sliwinska,0.1467559933662414,0.0732762068510055,0.0035534539725631,0.5168192386627196,0.0023759395873639,0.6805898889899256,0.3721515602107407,0.5005745751969555,False
1,1,3,Rachel Hunter / Jonathan Roberts,0.010496599599719,0.0037293289788067,0.0002143542580597,0.0504530776292085,0.0001392941603626,0.0671557854861021,0.036042424686402584,0.04894199077588445,False
1,1,4,Joey McIntyre / Ashly DelGrosso,0.4579591751098633,0.431026428937912,0.0392300879582762,0.9439370185136796,0.0343234680593013,0.9676927387714386,0.6263660395781189,0.6578067474723105,False
1,1,5,Trista Sutter / Louis van Amstel,0.0155808301642537,0.0068409880623221,0.0004470343425055,0.0642141807824373,0.0003203646490874,0.0838678373023868,0.04414854741905329,0.05888128679941116,False
1,2,0,John O'Hurley / Charlotte Jorgensen,0.4788767993450165,0.5126998424530029,0.042688100785017,0.919891756772995,0.0337133947759866,0.9475999921560287,0.6025093165025143,0.6389695781716505,False
1,2,1,Kelly Monaco / Alec Mazo,0.1206641793251037,0.0573758855462074,0.0027831110870465,0.4663116365671158,0.0014228439162252,0.5152650535106661,0.3396728693582324,0.3832999039244131,False
1,2,2,Evander Holyfield / Edyta Sliwinska,0.0663486942648887,0.031707439571619,0.0023144167033024,0.2327250249683853,0.0010200741671724,0.3449028491973878,0.1653342707008442,0.2511859687003492,False
1,2,3,Rachel Hunter / Jonathan Roberts,0.0130626615136861,0.0049517694860696,0.0003475068384432,0.053933055512607,0.0002366191005421,0.0709269935265183,0.038779423578437076,0.05207610441949971,False
